Incident Address Display,Borough,Community Board,Police Precinct,Status,Resolution Action
3359 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
336 12 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Unspecified
336 EAST 81 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
336 EAST 95 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
336 FRANKLIN AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
336 RODNEY STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Unspecified
336 WAINWRIGHT AVENUE,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,Closed,Cleaning crew dispatched.  Property cleaned.
3362 PARK AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
3362 PARK AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
337 1 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
337 COURT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,Closed,Cleaning crew dispatched.  Property cleaned.
337 EAST 116 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
337 EAST 138 STREET,BRONX,01 BRONX,Precinct 40,Closed,Cleaning crew dispatched.  Property cleaned.
337 HERZL STREET,BROOKLYN,16 BROOKLYN,Precinct 73,Closed,Cleaning crew dispatched.  Property cleaned.
337 RIVERDALE AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,Closed,Cleaning crew dispatched.  Property cleaned.
337 WEST 138 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
337 WEST 138 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Open,Site downloaded for cleaning
3370 BAYCHESTER AVENUE,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
3371 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Open,Unspecified
3371 SHORE PARKWAY,BROOKLYN,15 BROOKLYN,Precinct 61,Closed,Cleaning crew dispatched.  Property cleaned.
3371 SHORE PARKWAY,BROOKLYN,15 BROOKLYN,Precinct 61,Closed,Cleaning crew dispatched.  Property cleaned.
3372 HULL AVENUE,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
338 3 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Unspecified
338 3 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Unspecified
338 8 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 10,Closed,Cleaning crew dispatched. No graffiti on property.
338 8 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 10,Closed,Cleaning crew dispatched.  Property cleaned.
338 BRISTOL STREET,BROOKLYN,16 BROOKLYN,Precinct 73,Closed,Cleaning crew dispatched.  Property cleaned.
338 MOFFAT STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site downloaded for cleaning
338 NORTH 4TH ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,Open,Unspecified
338 THROOP AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
3389 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
339 13 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Site downloaded for cleaning
339 7 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,Open,Unspecified
339 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched.  Property cleaned.
339 EAST 94 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
339 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
339 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
339 KEAP STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
339 PALMETTO STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
339 WEST 4 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,Open,Site downloaded for cleaning
3397 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
3397 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
3398 AUTUMN AVE,BROOKLYN,Unspecified BROOKLYN,Unspecified,Open,Unspecified
3399 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
34 BERRY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
34 DECATUR STREET,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Site downloaded for cleaning
34 FRANKLIN AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
34 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 84,Open,Site downloaded for cleaning
34 HILLSIDE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched. No graffiti on property.
34 HOWARD STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
34 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
34 RENWICK STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched. No graffiti on property.
34 RENWICK STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched.  Property cleaned.
34 SOUTH 1 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Site to be cleaned.
34 STEUBEN STREET,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
34 TEHAMA STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
34 THOMPSON STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched.  Property cleaned.
34 WALKER STREET,MANHATTAN,01 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched.  Property cleaned.
34 WEST 128 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
34 WEST 132 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
34 WESTCHESTER SQUARE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
34-01 109 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Site downloaded for cleaning
34-01 35 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-01 45 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-01 COLLEGE POINT BOULEVARD,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
34-02 36 AVENUE,QUEENS,01 QUEENS,Precinct 114,Pending,Cleaning crew dispatched.  Property cleaned.
34-02 GREENPOINT AVENUE,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
34-04 34 AVENUE,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
34-04 46 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
34-05 44 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
34-05 45 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-06 43 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-06 45 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-06 45 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
34-08 BROADWAY,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-09 45 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-11 45 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-11 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-11 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
34-12 98 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
34-15 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-15 45 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-15 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
34-20 45 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-20 45 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-20 45 STREET,QUEENS,Unspecified QUEENS,Unspecified,Open,Site downloaded for cleaning
34-20 JUNCTION BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
34-21 99 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
34-21 GREENPOINT AVENUE,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
34-28 21 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
34-29 31 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
34-31 31 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
34-33 JUNCTION BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Open,Site downloaded for cleaning
34-36 99 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
34-39 31 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
34-40 JUNCTION BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
34-42 28 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
34-45 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
34-47 82 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Site downloaded for cleaning
34-50 28 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
34-57 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
34-64 JUNCTION BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
34-67 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
340 3 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Site downloaded for cleaning
340 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
340 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
340 DAHILL ROAD,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
340 EAST 4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
340 MOFFAT STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site downloaded for cleaning
340 PLEASANT AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched. No graffiti on property.
3400 PARK AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
3401 AVENUE I,BROOKLYN,18 BROOKLYN,Precinct 63,Closed,Cleaning crew dispatched.  Property cleaned.
3403 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
3404 QUENTIN ROAD,BROOKLYN,18 BROOKLYN,Precinct 63,Closed,Cleaning crew dispatched.  Property cleaned.
3405 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
3405 NEWKIRK AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,Closed,Cleaning crew dispatched.  Property cleaned.
3406 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
3409 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
3409 SHORE PARKWAY NORTH SERVICE ROAD,BROOKLYN,Unspecified BROOKLYN,Unspecified,Open,Unspecified
341 10 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
341 BERGEN STREET,BROOKLYN,02 BROOKLYN,Precinct 84,Closed,Cleaning crew dispatched.  Property cleaned.
341 EAST 78 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
341 GRAND STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
341 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
341 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
341 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
341 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
341 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
341 SECOND AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
341B HAROLD STREET,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,Open,Site downloaded for cleaning
342 EAST 62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Open,Site downloaded for cleaning
342 EAST 71 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
342 HIMROD STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
342 HIMROD STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
342 PARK AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
342 RIDGEWOOD AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
3420 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
3424 AVENUE S,BROOKLYN,18 BROOKLYN,Precinct 63,Closed,Cleaning crew dispatched.  Property cleaned.
3424 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
3425 GATES PLACE,BRONX,07 BRONX,Precinct 52,Open,Mail returned / wrong address
3425 ROMBOUTS AVENUE,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
3426 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
342A WEST 21 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,Closed,Cleaning crew dispatched.  Property cleaned.
343 1 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
343 EAST 115 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
343 EAST 21 STREET,MANHATTAN,06 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
343 EAST 66 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
343 EAST 99 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
343 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,Open,Site downloaded for cleaning
343 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
343 PALMETTO STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
343 SAND LANE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,Open,Site downloaded for cleaning
3431 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
3432 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
3433 GATES PLACE,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
3433 GATES PLACE,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
3434 KNOX PLACE,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
3435 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
3438 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
344 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
344 BUTLER STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Closed,Cleaning crew dispatched.  Property cleaned.
344 DEVOE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Site downloaded for cleaning
344 EAST 106 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,Closed,Cleaning crew dispatched. No graffiti on property.
344 EAST 112 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
344 EAST 62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
344 HOOPER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Site downloaded for cleaning
344 UTICA AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
344 WEST 11 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
3440 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
3440 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
3443 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
3443 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Site downloaded for cleaning
3443 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
3445 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
3446 BROADWAY,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
345 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,Closed,Cleaning crew dispatched.  Property cleaned.
345 EAST 116 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
345 EAST 6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
345 EAST 6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
345 GATES AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
345 OVINGTON AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,Closed,Cleaning crew dispatched.  Property cleaned.
345 SOUNDVIEW AVENUE,BRONX,09 BRONX,Precinct 43,Pending,Cleaning crew dispatched.  Property cleaned.
345 SOUNDVIEW AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
3453 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
3455 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
3455 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched. No graffiti on property.
3456 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
3456 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
3457 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
346 13 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Site downloaded for cleaning
346 EAST 34 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,Closed,Cleaning crew dispatched.  Property cleaned.
346 EAST 62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
346 SAINT MARKS AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Unspecified
346 UNDERHILL AVENUE,BRONX,09 BRONX,Precinct 43,Pending,Cleaning crew dispatched.  Property cleaned.
3461 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
3464 WEBSTER AVENUE,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
3466 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Site downloaded for cleaning
3468 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
347 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,Closed,Cleaning crew dispatched.  Property cleaned.
347 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
347 EAST 138 STREET,BRONX,01 BRONX,Precinct 40,Open,Site downloaded for cleaning
347 EAST 6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
347 WEST 71 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,Closed,Cleaning crew dispatched.  Property cleaned.
3475 DEKALB AVENUE,BRONX,07 BRONX,Precinct 52,Open,Site downloaded for cleaning
3479 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
348 63 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
348 CLASSON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
348 EAST 110 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,Closed,Cleaning crew dispatched.  Property cleaned.
348 EAST 119 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
348 EAST 62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
348 EAST 62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Open,Site downloaded for cleaning
348 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
348 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
3487 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
3487 RICHMOND ROAD,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,Open,Site downloaded for cleaning
349 3 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
349 BRONX PARK AVENUE,BRONX,06 BRONX,Precinct 48,Open,Site downloaded for cleaning
349 EAST 10 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
349 EAST 119 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
349 EAST 65 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
349 EAST 65 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
349 HERKIMER STREET,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
349 KEAP STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
3494 PARK AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
3497 3 AVENUE,BRONX,03 BRONX,Precinct 42,Open,Site to be cleaned.
35 9 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Unspecified
35 CEDAR STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
35 FORT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
35 FT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
35 HAMILTON PLACE,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
35 HERKIMER PLACE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
35 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
35 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
35 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
35 MARKET STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
35 MARKET STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
35 MEADOW STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
